M,N,K,bias,dtype,outdtype,scaleAB
288,384,7168,False,torch.bfloat16,torch.bfloat16,False
296,384,7168,False,torch.bfloat16,torch.bfloat16,False
304,384,7168,False,torch.bfloat16,torch.bfloat16,False
312,384,7168,False,torch.bfloat16,torch.bfloat16,False
320,384,7168,False,torch.bfloat16,torch.bfloat16,False
328,384,7168,False,torch.bfloat16,torch.bfloat16,False
336,384,7168,False,torch.bfloat16,torch.bfloat16,False
344,384,7168,False,torch.bfloat16,torch.bfloat16,False
352,384,7168,False,torch.bfloat16,torch.bfloat16,False
360,384,7168,False,torch.bfloat16,torch.bfloat16,False
368,384,7168,False,torch.bfloat16,torch.bfloat16,False
376,384,7168,False,torch.bfloat16,torch.bfloat16,False
384,384,7168,False,torch.bfloat16,torch.bfloat16,False
392,384,7168,False,torch.bfloat16,torch.bfloat16,False
400,384,7168,False,torch.bfloat16,torch.bfloat16,False
408,384,7168,False,torch.bfloat16,torch.bfloat16,False
416,384,7168,False,torch.bfloat16,torch.bfloat16,False
424,384,7168,False,torch.bfloat16,torch.bfloat16,False
432,384,7168,False,torch.bfloat16,torch.bfloat16,False
440,384,7168,False,torch.bfloat16,torch.bfloat16,False
448,384,7168,False,torch.bfloat16,torch.bfloat16,False
456,384,7168,False,torch.bfloat16,torch.bfloat16,False
464,384,7168,False,torch.bfloat16,torch.bfloat16,False
472,384,7168,False,torch.bfloat16,torch.bfloat16,False
480,384,7168,False,torch.bfloat16,torch.bfloat16,False
488,384,7168,False,torch.bfloat16,torch.bfloat16,False
496,384,7168,False,torch.bfloat16,torch.bfloat16,False
